incident_id,offense_code_encoded,offense_category_name_encoded,crime_against_encoded,agency_name_encoded,ct_flag_encoded,ARREST,incident_hour
165375264,23,15,1,21,1,0,13.0
165375266,22,14,1,21,1,0,14.0
165375270,17,14,1,21,0,0,15.0
165375274,9,2,0,21,0,0,23.0
165375276,14,4,1,21,1,0,5.0
165375278,17,14,1,21,0,1,8.0
165375280,22,14,1,21,1,0,22.0
165375281,10,2,0,21,0,0,11.0
165375287,9,2,0,21,0,0,15.0
165375289,17,14,1,21,0,0,18.0
165375291,10,2,0,21,0,0,20.0
165375294,9,2,0,21,0,0,0.0
165375296,14,4,1,21,1,0,11.0
165375298,10,2,0,21,0,0,14.0
165375303,10,2,0,21,0,0,8.0
165375304,22,14,1,21,1,0,10.0
165375306,10,2,0,21,0,0,11.0
165454534,10,2,0,9,0,0,18.0
165454536,23,15,1,9,1,0,21.0
165454538,10,2,0,9,0,1,21.0
165454543,10,2,0,9,0,1,2.0
165454545,24,5,1,9,0,0,8.0
165454546,34,6,1,9,0,0,8.0
165454547,22,14,1,9,1,0,11.0
165454551,23,15,1,9,1,1,13.0
165454552,17,14,1,9,0,1,15.0
165454557,14,4,1,9,1,0,15.0
165454564,35,7,2,9,0,1,20.0
165454566,20,14,1,9,1,0,21.0
165454569,36,7,2,9,0,1,2.0
165454571,22,14,1,9,1,0,13.0
165454573,14,4,1,9,1,0,10.0
165454579,17,14,1,9,0,0,11.0
165454580,17,14,1,9,0,0,11.0
165454582,10,2,0,9,0,1,13.0
165454588,10,2,0,9,0,0,15.0
165454589,23,15,1,9,1,0,13.0
163898431,10,2,0,14,0,1,2.0
163898458,10,2,0,14,0,1,13.0
163898473,10,2,0,14,0,1,13.0
163983331,47,23,2,14,0,1,13.0
163991580,10,2,0,10,0,1,3.0
163992689,10,2,0,10,0,1,23.0
164068350,10,2,0,14,0,1,13.0
164068362,10,2,0,14,0,1,13.0
164178408,10,2,0,0,0,1,13.0
164215079,34,6,1,0,0,1,13.0
164252905,35,7,2,63,0,0,21.0
164481414,10,2,0,14,0,1,13.0
164533090,10,2,0,0,0,1,13.0
164736163,34,6,1,63,0,1,0.0
164817281,10,2,0,14,0,1,21.0
164817285,9,2,0,14,0,1,13.0
164817291,10,2,0,14,0,1,19.0
164817389,10,2,0,14,0,1,13.0
164826990,9,2,0,63,0,0,19.0
164969311,23,15,1,81,1,0,16.0
164969313,47,23,2,81,0,1,21.0
164969315,20,14,1,81,1,0,8.0
164969317,9,2,0,81,0,1,12.0
164969319,14,4,1,81,1,0,14.0
164969321,14,4,1,81,1,0,12.0
164969323,25,10,1,81,1,0,10.0
164969325,23,15,1,81,1,1,12.0
164969327,9,2,0,81,0,0,17.0
164986487,10,2,0,14,0,0,21.0
164986488,9,2,0,14,0,1,16.0
164986489,10,2,0,14,0,0,22.0
164994584,10,2,0,81,0,0,20.0
164994586,20,14,1,81,1,0,10.0
164994588,14,4,1,81,1,0,12.0
165110082,30,10,1,81,1,0,11.0
165132109,10,2,0,14,0,1,17.0
165153633,47,23,2,63,0,0,10.0
165154137,10,2,0,81,0,0,20.0
165154139,10,2,0,81,0,0,13.0
165154140,14,4,1,81,1,0,12.0
165333739,10,2,0,10,0,0,2.0
165333794,10,2,0,0,0,0,13.0
165333826,35,7,2,2,0,1,13.0
