offense_code_encoded,offense_category_name_encoded,crime_against_encoded,ct_flag_encoded,hc_flag_encoded,weapon_name_encoded,arrest_type_name_encoded,sex_code_encoded,race_desc_encoded,ethnicity_name_encoded,avg_arrestee_age,MULTIPLE_ARRESTS,ARREST
9,3,0,0,1,12,1,1,0,1,44.0,0,1
8,3,0,0,1,12,2,0,5,2,45.0,0,1
40,30,2,0,1,3,0,1,5,1,29.0,0,1
31,7,1,0,1,12,0,1,5,0,53.0,0,1
11,2,1,0,1,12,2,1,4,1,56.0,0,1
8,3,0,0,1,12,2,1,5,0,32.5,1,1
8,3,0,0,1,12,0,1,5,0,30.0,0,1
21,21,1,1,1,12,2,1,5,0,21.0,0,1
31,7,1,0,1,12,2,1,5,0,47.5,1,1
9,3,0,0,1,12,2,1,5,1,42.0,0,1
16,19,1,0,1,12,2,1,5,0,40.0,0,1
31,7,1,0,1,12,2,1,0,1,25.0,0,1
9,3,0,0,1,12,2,0,5,0,45.0,0,1
21,21,1,1,1,12,2,1,5,0,29.0,0,1
30,28,1,0,1,3,2,0,5,0,32.5,1,1
30,28,1,0,1,12,2,1,5,1,27.0,0,1
9,3,0,0,1,12,2,1,5,0,19.0,0,1
13,5,1,1,1,12,2,1,5,1,40.0,0,1
9,3,0,0,1,12,2,1,5,1,40.0,0,1
32,10,2,0,1,12,2,1,5,0,50.0,0,1
30,28,1,0,1,12,2,1,5,0,43.0,0,1
9,3,0,0,1,12,0,1,0,1,20.0,0,1
40,30,2,0,1,6,0,1,5,0,30.0,0,1
31,7,1,0,1,12,2,1,5,0,39.0,0,1
8,3,0,0,1,12,0,1,5,0,42.0,0,1
40,30,2,0,1,3,0,1,5,0,50.0,0,1
40,30,2,0,1,1,0,1,5,0,27.0,0,1
8,3,0,0,1,12,0,1,5,0,36.0,0,1
31,7,1,0,1,12,0,1,5,0,49.0,0,1
7,25,1,1,1,6,2,1,5,0,45.0,0,1
16,19,1,0,1,12,0,0,5,0,58.0,0,1
32,10,2,0,1,12,0,0,5,0,24.0,0,1
49,0,2,0,0,12,2,0,5,0,43.0,0,1
9,3,0,0,1,12,0,1,5,1,41.0,0,1
16,19,1,0,1,12,2,1,5,0,34.0,0,1
32,10,2,0,1,12,2,1,5,0,22.0,0,1
31,7,1,0,1,12,2,1,5,1,71.0,0,1
9,3,0,0,1,12,2,1,5,0,37.0,0,1
32,10,2,0,1,12,2,1,5,0,44.0,0,1
49,0,2,0,0,12,0,1,5,0,29.0,0,1
49,0,2,0,0,12,0,1,5,0,29.0,0,1
31,7,1,0,1,12,0,0,5,0,18.0,0,1
31,7,1,0,1,12,0,1,5,3,22.0,0,1
13,5,1,1,1,12,0,0,5,2,40.0,0,1
40,30,2,0,1,12,0,1,5,0,39.0,0,1
8,3,0,0,1,3,0,1,5,0,44.0,0,1
9,3,0,0,1,12,1,1,5,0,17.0,0,1
8,3,0,0,1,5,0,1,5,0,43.0,0,1
9,3,0,0,1,12,0,0,5,0,21.0,0,1
32,10,2,0,1,3,2,1,5,0,21.0,0,1
2,18,0,0,1,12,2,1,5,1,36.0,0,1
20,19,1,1,1,12,2,1,5,0,35.0,0,1
40,30,2,0,1,3,0,1,5,0,16.0,0,1
40,30,2,0,1,3,1,1,5,1,16.333333333333332,1,1
9,3,0,0,1,12,0,1,5,1,36.0,0,1
9,3,0,0,1,12,0,1,5,0,27.0,0,1
33,10,2,0,1,12,1,0,5,0,27.0,0,1
32,10,2,0,1,12,0,1,5,0,38.0,0,1
16,19,1,0,1,12,0,1,5,0,38.0,0,1
9,3,0,0,1,12,0,1,5,1,36.0,0,1
8,3,0,0,1,12,2,1,5,0,38.0,0,1
49,0,2,0,0,12,2,1,5,0,46.0,0,1
9,3,0,0,1,12,0,0,5,0,24.0,0,1
9,3,0,0,1,12,1,0,5,0,16.0,0,1
8,3,0,0,1,3,2,1,5,0,21.0,0,1
2,18,0,0,1,3,0,1,5,1,26.0,0,1
9,3,0,0,1,12,0,1,5,1,32.0,0,1
46,20,2,0,0,12,1,1,5,0,17.0,0,1
9,3,0,0,1,12,0,1,5,1,19.0,0,1
9,3,0,0,1,12,0,0,5,1,38.0,0,1
2,18,0,0,1,12,0,1,5,0,31.0,0,1
9,3,0,0,1,12,0,0,5,0,36.0,0,1
13,5,1,1,1,12,2,1,5,0,40.0,0,1
8,3,0,0,1,3,0,1,5,0,43.0,0,1
9,3,0,0,1,12,0,0,5,0,50.0,0,1
23,14,1,1,1,12,0,0,5,0,52.0,0,1
16,19,1,0,1,12,2,0,5,1,26.0,0,1
16,19,1,0,1,12,1,0,5,0,34.0,0,1
16,19,1,0,1,12,1,1,5,1,42.0,0,1
31,7,1,0,1,12,0,0,5,1,41.0,0,1
9,3,0,0,1,12,2,1,5,1,68.0,0,1
9,3,0,0,1,12,0,1,5,0,30.0,0,1
9,3,0,0,1,12,1,0,5,0,16.0,0,1
9,3,0,0,1,12,0,1,5,0,40.0,0,1
9,3,0,0,1,12,1,0,5,0,17.0,0,1
16,19,1,0,1,12,0,1,5,0,35.0,0,1
31,7,1,0,1,12,0,1,5,1,44.0,0,1
9,3,0,0,1,12,0,1,5,0,37.0,0,1
9,3,0,0,1,12,1,1,5,1,31.0,0,1
9,3,0,0,1,3,2,1,5,0,38.0,0,1
9,3,0,0,1,12,1,0,5,0,12.0,0,1
9,3,0,0,1,12,0,0,5,0,18.0,0,1
9,3,0,0,1,12,0,1,5,1,28.0,0,1
9,3,0,0,1,12,2,1,5,0,22.0,0,1
2,18,0,0,1,12,2,1,5,0,50.0,0,1
9,3,0,0,1,12,0,0,5,0,17.0,0,1
8,3,0,0,1,10,2,1,5,0,40.0,0,1
9,3,0,0,1,12,2,1,5,0,17.0,0,1
9,3,0,0,1,12,0,0,5,1,45.0,0,1
9,3,0,0,1,12,0,1,5,0,24.0,0,1
9,3,0,0,1,12,2,1,5,0,34.0,0,1
16,19,1,0,1,12,2,1,5,0,18.0,0,1
9,3,0,0,1,12,0,1,5,0,49.0,0,1
9,3,0,0,1,12,1,1,5,0,9.0,0,1
9,3,0,0,1,12,0,1,5,0,20.0,0,1
9,3,0,0,1,12,0,0,5,0,57.0,0,1
31,7,1,0,1,12,1,1,5,0,14.5,1,1
16,19,1,0,1,12,1,1,5,0,28.0,0,1
9,3,0,0,1,12,0,0,5,0,43.0,0,1
13,5,1,1,1,12,0,1,5,0,40.0,0,1
9,3,0,0,1,12,0,0,5,1,30.0,0,1
9,3,0,0,1,12,1,0,5,0,15.0,0,1
9,3,0,0,1,12,0,0,5,0,28.0,0,1
9,3,0,0,1,12,0,1,5,0,35.0,0,1
43,8,2,0,0,12,0,0,0,1,25.0,0,1
32,10,2,0,1,12,0,1,0,1,57.0,0,1
9,3,0,0,1,12,0,0,0,1,61.0,0,1
9,3,0,0,1,12,1,1,0,1,15.0,0,1
40,30,2,0,1,10,0,1,5,0,40.0,0,1
32,10,2,0,1,3,0,1,5,1,44.0,0,1
9,3,0,0,1,12,0,1,5,1,25.0,0,1
9,3,0,0,1,12,2,0,0,1,34.0,0,1
9,3,0,0,1,12,1,1,0,1,15.0,0,1
9,3,0,0,1,12,2,1,5,1,45.0,0,1
9,3,0,0,1,12,0,1,0,1,39.0,0,1
